

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
973.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\autoloclist.vim
974.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\balloons.vim
976.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\checker.vim
977.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\cursor.vim
978.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\highlighting.vim
980.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\loclist.vim
981.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\modemap.vim
982.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\notifiers.vim
984.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\registry.vim
985.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\signs.vim
992.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\autoloclist.vim
993.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\balloons.vim
994.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\checker.vim
995.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\cursor.vim
996.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\highlighting.vim
997.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\loclist.vim
998.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\modemap.vim
999.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\notifiers.vim
1000.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\registry.vim
1001.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\signs.vim
1013.000  053.000  048.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic.vim
1043.000  029.000  029.000: sourcing C:\Users\sshen\.vim\bundle\vim-fugitive\plugin\fugitive.vim
1045.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\gist-vim\plugin\gist.vim
1056.000  010.000  010.000: sourcing C:\Users\sshen\.vim\bundle\nerdcommenter\plugin\NERD_commenter.vim
1058.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-commentary\plugin\commentary.vim
1060.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\tabular\plugin\Tabular.vim
1087.000  026.000  026.000: sourcing C:\Users\sshen\.vim\bundle\rainbow\plugin\rainbow.vim
1091.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\neocomplete.vim\plugin\neocomplete\buffer.vim
1092.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\neocomplete.vim\plugin\neocomplete\dictionary.vim
1093.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\neocomplete.vim\plugin\neocomplete\member.vim
1094.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\neocomplete.vim\plugin\neocomplete\tag.vim
1096.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\neocomplete.vim\plugin\neocomplete.vim
1098.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\neosnippet\plugin\neosnippet.vim
1099.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-snippets\plugin\vimsnippets.vim
1107.000  006.000  006.000: sourcing C:\Users\sshen\.vim\bundle\emmet-vim\plugin\emmet.vim
1109.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\rust.vim\plugin\rust.vim
1192.000  082.000  082.000: sourcing C:\Users\sshen\.vim\bundle\vim-preview\plugin\preview.vim
1194.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-cucumber-align-pipes\plugin\cucumber-align-pipes.vim
1202.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-misc\autoload\xolox\misc.vim
1211.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-misc\autoload\xolox\misc\os.vim
